"Tren","Volume penelusuran","Dimulai","Berakhir","Perincian tren","Jelajahi link"
"achraf hakimi","1 rb+","14 Juni 2026 pukul 04.40.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","achraf hakimi","./explore?q=achraf%20hakimi&geo=ID"
"bruno guimarães","1 rb+","14 Juni 2026 pukul 04.40.00 UTC+7","14 Juni 2026 pukul 08.00.00 UTC+7","bruno guimarães","./explore?q=bruno%20guimar%C3%A3es&geo=ID"
"thailand vs australia","2 rb+","13 Juni 2026 pukul 20.10.00 UTC+7","13 Juni 2026 pukul 23.40.00 UTC+7","thailand vs australia,australia vs thailand","./explore?q=thailand%20vs%20australia&geo=ID"
"raphinha","1 rb+","14 Juni 2026 pukul 04.50.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","raphinha","./explore?q=raphinha&geo=ID"
"granit xhaka","1 rb+","14 Juni 2026 pukul 01.40.00 UTC+7","14 Juni 2026 pukul 05.40.00 UTC+7","granit xhaka","./explore?q=granit%20xhaka&geo=ID"
"denis zakaria","2 rb+","14 Juni 2026 pukul 01.50.00 UTC+7","14 Juni 2026 pukul 05.00.00 UTC+7","denis zakaria,ricardo rodríguez","./explore?q=denis%20zakaria&geo=ID"
"rubén vargas","1 rb+","14 Juni 2026 pukul 01.40.00 UTC+7","14 Juni 2026 pukul 05.20.00 UTC+7","rubén vargas","./explore?q=rub%C3%A9n%20vargas&geo=ID"
"abdülkerim bardakcı","500+","14 Juni 2026 pukul 10.50.00 UTC+7","14 Juni 2026 pukul 12.40.00 UTC+7","abdülkerim bardakcı","./explore?q=abd%C3%BClkerim%20bardakc%C4%B1&geo=ID"
"matheus cunha","1 rb+","14 Juni 2026 pukul 05.20.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","matheus cunha","./explore?q=matheus%20cunha&geo=ID"
"dan ndoye","1 rb+","14 Juni 2026 pukul 01.40.00 UTC+7","14 Juni 2026 pukul 05.10.00 UTC+7","dan ndoye","./explore?q=dan%20ndoye&geo=ID"
"ben gannon-doak","1 rb+","14 Juni 2026 pukul 07.40.00 UTC+7","14 Juni 2026 pukul 10.00.00 UTC+7","ben gannon-doak","./explore?q=ben%20gannon-doak&geo=ID"
"éderson","1 rb+","14 Juni 2026 pukul 05.00.00 UTC+7","14 Juni 2026 pukul 08.00.00 UTC+7","éderson","./explore?q=%C3%A9derson&geo=ID"
"wc 2026","1 rb+","14 Juni 2026 pukul 05.20.00 UTC+7","14 Juni 2026 pukul 08.10.00 UTC+7","wc 2026","./explore?q=wc%202026&geo=ID"
"hakimi","1 rb+","14 Juni 2026 pukul 05.30.00 UTC+7","14 Juni 2026 pukul 08.00.00 UTC+7","hakimi,brasil vs panama","./explore?q=hakimi&geo=ID"
"gregor kobel","1 rb+","14 Juni 2026 pukul 01.50.00 UTC+7","14 Juni 2026 pukul 05.00.00 UTC+7","gregor kobel","./explore?q=gregor%20kobel&geo=ID"
"live sports","500+","14 Juni 2026 pukul 05.00.00 UTC+7","14 Juni 2026 pukul 07.40.00 UTC+7","live sports","./explore?q=live%20sports&geo=ID"
